Treatment Function Name,rate_18_plus,rate_52_plus,rate_78_plus
Ear Nose and Throat Service,0.5426497264165353,0.08880920112825418,0.002145849808778625
Gynaecology Service,0.5165918682101878,0.07262221420181102,0.0008583152832068246
Plastic Surgery Service,0.49081843031262995,0.06971422713855543,0.002904030552447339
Oral Surgery Service,0.5421644728268696,0.06787988739247638,0.00038432845735905327
Trauma and Orthopaedic Service,0.4709896843013107,0.05120745699449048,0.002751848826949544
Other - Surgical Services,0.4016980452402454,0.048360624948104995,0.0011534015570345607
General Surgery Service,0.4196366202689824,0.048351208962104604,0.0014477250863747899
Urology Service,0.4143058038553742,0.045567375601650015,0.000618329507965273
Total,0.40322702594581766,0.0450105749564257,0.0016565563113523835
Neurosurgical Service,0.40797316416178636,0.042641845593380266,0.0023128661943939283
Other - Paediatric Services,0.3992165396126286,0.04196047216568891,0.0016400461826196328
Dermatology Service,0.45579184106077403,0.04058990702057869,0.001188850625672218
Cardiothoracic Surgery Service,0.3333342717862704,0.027674248874326877,0.0013004166352935272
Cardiology Service,0.3877655626931448,0.02667450260953033,0.001196880210139973
Other - Medical Services,0.3332318562164838,0.026432631142878645,0.0009887357467653509
Neurology Service,0.41612487538575793,0.02348316971778776,0.0009877992112672638
Gastroenterology Service,0.32265519167191337,0.021795904612157312,0.0012896138966351158
Other - Other Services,0.28262000244587016,0.021058862096707823,0.0017112658806117352
General Internal Medicine Service,0.26687199218210184,0.017968700216491214,0.0008543829824771345
Ophthalmology Service,0.28830032193022315,0.01612471071681574,0.0009502543260709205
Rheumatology Service,0.31404162277007686,0.01451708587048987,0.0026117663270874424
Respiratory Medicine Service,0.2609595994810576,0.01020221980340903,0.00033831317821147013
Elderly Medicine Service,0.1848372204568093,0.006597247781928711,0.0011958528868659067
Other - Mental Health Services,0.31248478191321594,0.004845754845754846,0.003003003003003003
